CustomerID,FirstName,LastName,Gender,BirthDate,MemberLevel,RegisterDate
C059001,วิชัย,นาคประสิทธิ์,Male,1996-03-13,Silver,2026-05-03
C059002,ปิยะ,วงศ์สว่าง,Male,2004-03-31,Silver,2026-03-12
C059003,ศุภชัย,มีสาร,Male,1996-09-15,Platinum,2026-08-15
C059004,ประสิทธิ์,สมบูรณ์,Female,1985-09-30,Platinum,2026-03-16
C059005,ประสิทธิ์,รักษาวงศ์,Other,1991-05-29,Platinum,2026-10-23
C059006,ชนิดา,สมบูรณ์,Male,1985-01-13,Silver,2026-03-12
C059007,รัตนา,ใจดี,Male,1979-02-15,Bronze,2026-12-12
C059008,กานต์,ธรรมราษฎร์,Female,1993-01-16,Bronze,2026-11-18
C059009,ภาวิณี,สมบูรณ์,Female,1981-09-10,Bronze,2026-01-27
C059010,สมชาย,รักษาวงศ์,Other,1988-01-18,Bronze,2026-03-18
C059011,สุปวัน,ธรรมราษฎร์,Male,1983-06-12,Silver,2026-07-01
C059012,ธนกฤต,พรมมาศ,Other,1981-04-03,Gold,2026-09-18
C059013,ชลธิชา,สุขสวัสดิ์,Female,1985-02-13,Bronze,2026-12-12
C059014,อัญชนา,คงศักดิ์,Male,1995-02-24,Bronze,2026-01-30
C059015,วุฒิพงศ์,เจริญสุข,Female,1983-04-17,Silver,2026-11-15
C059016,มาลี,สมบูรณ์,Female,1994-04-25,Gold,2026-07-31
C059017,สุปวัน,ตันติวิท,Female,1996-09-18,Silver,2026-02-03
C059018,รัตนา,คงศักดิ์,Female,2005-12-31,Silver,2026-09-03
C059019,วุฒิพงศ์,เจริญสุข,Male,1996-04-04,VIP,2026-10-07
C059020,ชลธิชา,รักษาวงศ์,Female,2000-08-27,Bronze,2026-01-01
C059021,ภูมิพัฒน์,นาคประสิทธิ์,Male,1999-05-24,VIP,2026-06-04
C059022,พัชรา,วงศ์สว่าง,Female,2007-11-27,VIP,2026-07-13
C059023,ปิยะ,ตันติวิท,Other,1989-06-23,Gold,2026-09-02
C059024,อัญชนา,มีสาร,Male,1986-11-26,Silver,2026-03-09
C059025,สุปวัน,สุขสวัสดิ์,Female,2002-10-20,Bronze,2026-03-08
C059026,ศุภชัย,รุ่งฤทธิ์,Male,1993-12-22,Bronze,2026-08-19
C059027,ประสิทธิ์,วงศ์สว่าง,Male,2006-12-09,Silver,2026-06-08
C059028,พัชรา,เพชรรัตน์,Male,2002-06-25,Gold,2026-11-13
C059029,ศุภชัย,มีสาร,Other,2002-06-07,Bronze,2026-11-08
C059030,ประสิทธิ์,ใจดี,Other,1991-02-26,Platinum,2026-07-06
C059031,รัตนา,เจริญสุข,Male,1996-03-04,Bronze,2026-02-11
C059032,พัชรา,รุ่งฤทธิ์,Female,2004-04-14,Bronze,2026-10-16
C059033,นรงค์,คงศักดิ์,Other,1985-03-03,Silver,2026-07-01
C059034,กมล,เพชรรัตน์,Male,1999-09-09,Platinum,2026-03-09
C059035,มาลี,สมบูรณ์,Female,1994-05-31,Silver,2026-05-19
C059036,ธนกฤต,รักษาวงศ์,Female,1995-06-26,Silver,2026-05-11
C059037,พัชรา,ใจดี,Male,1997-08-20,Bronze,2026-06-23
C059038,ศิริพร,พรมมาศ,Male,1981-11-09,Bronze,2026-02-02
C059039,ธนกฤต,ตันติวิท,Female,2004-11-26,Platinum,2026-09-03
C059040,ชลธิชา,ทองดี,Male,2001-08-30,Bronze,2026-06-05
C059041,กานต์,ใจดี,Female,2002-04-06,Bronze,2026-08-06
C059042,สุปวัน,บุญธรรม,Other,1988-09-01,Silver,2026-06-30
